STRINGID,Context,English,Gibberish,French,Spanish,German,Korean,BrazillianPortuguese,SimplifedChinese,Russian,Italian,Portuguese,Hungarian,Japanese,Norwegian,Polish,Dutch,Romanian,Danish,Czech,Swedish
DEFAULT,,Lasagne,,,,,,,,,,,,ラザニア,,,,,,,
DEFAULT,,Carpaccio,,,,,,,,,,,,カルパッチョ,,,,,,,
DEFAULT,,Margherita,,,,,,,,,,,,マルゲリータ,,,,,,,
DEFAULT,,Tiramisu,,,,,,,,,,,,ティラミス,,,,,,,
DEFAULT,,Roast Beef,,,,,,,,,,,,ローストビーフ,,,,,,,
DEFAULT,,Meat Pie,,,,,,,,,,,,ミートパイ,,,,,,,
DEFAULT,,Blueberry Scone,,,,,,,,,,,,ブルーベリーのスコーン,,,,,,,
DEFAULT,,Muffin,,,,,,,,,,,,マフィン,,,,,,,
DEFAULT,,Paella,,,,,,,,,,,,パエリア,,,,,,,
DEFAULT,,Tortilla,,,,,,,,,,,,トルティーヤ,,,,,,,
DEFAULT,,Crepe,,,,,,,,,,,,クレープ,,,,,,,
DEFAULT,,Bouillabaisse,,,,,,,,,,,,ブイヤベース,,,,,,,
DEFAULT,,Ratatouille,,,,,,,,,,,,ラタトゥイユ,,,,,,,
DEFAULT,,Minestrone,,,,,,,,,,,,ミネストローネ,,,,,,,
DEFAULT,,Canape,,,,,,,,,,,,カナッペ,,,,,,,
DEFAULT,,Creme Brulee,,,,,,,,,,,,クレームブリュレ,,,,,,,
DEFAULT,,Macaron,,,,,,,,,,,,マカロン,,,,,,,
DEFAULT,,Souffle,,,,,,,,,,,,スフレ,,,,,,,
DEFAULT,,Sausage,,,,,,,,,,,,ソーセージ,,,,,,,
DEFAULT,,Pot-Au-Feu,,,,,,,,,,,,ポトフ,,,,,,,
DEFAULT,,Peking Duck,,,,,,,,,,,,北京ダック,,,,,,,
DEFAULT,,Chinese Fried Rice,,,,,,,,,,,,チャーハン,,,,,,,
DEFAULT,,Shumai,,,,,,,,,,,,シュウマイ,,,,,,,
DEFAULT,,Chinese Noodles,,,,,,,,,,,,ラーメン,,,,,,,
DEFAULT,,Borscht,,,,,,,,,,,,ボルシチ,,,,,,,
DEFAULT,,Pirozhki,,,,,,,,,,,,ピロシキ,,,,,,,
DEFAULT,,Curry,,,,,,,,,,,,カレー,,,,,,,
DEFAULT,,Naan Bread,,,,,,,,,,,,ナン,,,,,,,
DEFAULT,,Meatloaf,,,,,,,,,,,,ミートローフ,,,,,,,
DEFAULT,,Hamburger,,,,,,,,,,,,ハンバーガー,,,,,,,
DEFAULT,,Clam Chowder,,,,,,,,,,,,クラムチャウダー,,,,,,,
DEFAULT,,Donut,,,,,,,,,,,,ドーナッツ,,,,,,,
DEFAULT,,Apple Pie,,,,,,,,,,,,アップルパイ,,,,,,,
DEFAULT,,Wine,,,,,,,,,,,,ワイン,,,,,,,
DEFAULT,,"When I cook rice, it is a meal to cook an ingredient with rice, and to cook.",,,,,,,,,,,,ご飯を炊く際に、具を米と一緒に炊き込んで作る飯である。,,,,,,,
DEFAULT,,"The miso soup is one of the soup in the Japanese food and is the soup of dish which assumed the food such as vegetables and tofu, 麸 or fishery products a fruit to the juice which seasoned soup stock with miso.",,,,,,,,,,,,日本料理における汁物の一つで、だしを味噌で調味した汁に、野菜や豆腐、麸や魚介類などの食品を実としたスープ様の料理である。,,,,,,,
DEFAULT,,"A rice ball is the food which I pressurize triangle, straw bag form, orbicularity, and molded rice.",,,,,,,,,,,,ご飯を三角形・俵形・球状などに加圧成型した食べ物である。,,,,,,,
DEFAULT,,"A dish to slice raw fish meat, and to attach soy sauce, and to eat.",,,,,,,,,,,,生の魚肉などを薄く切って、しょうゆをつけて食べる料理。,,,,,,,
DEFAULT,,"One of the seasonings of the Japanese style. I steamed soybeans and let I added salt, malted rice and ferment.",,,,,,,,,,,,日本風の調味料の一つ。大豆を蒸し、塩・こうじを加えて発酵させたもの。,,,,,,,
DEFAULT,,Wooden Platter,,,,,,,,,,,,木の皿,,,,,,,
DEFAULT,,Wooden Platters,,,,,,,,,,,,木の皿,,,,,,,
DEFAULT,,Wooden Bowl,,,,,,,,,,,,木の器,,,,,,,
DEFAULT,,Wooden Bowls,,,,,,,,,,,,木の器,,,,,,,
DEFAULT,,Barrel,,,,,,,,,,,,樽,,,,,,,
DEFAULT,,Measure,,,,,,,,,,,,升,,,,,,,
DEFAULT,,TraditionalCooking,,,,,,,,,,,,伝統料理,,,,,,,
DEFAULT,,MYCharcoalGrill,,,,,,,,,,,,炭火焼き,,,,,,,
DEFAULT,,GoldenProportionOfBoild,,,,,,,,,,,,煮物の黄金比,,,,,,,
DEFAULT,,Heat Of The Oil,,,,,,,,,,,,油の火加減,,,,,,,
DEFAULT,,Best Smell,,,,,,,,,,,,最高の匂い,,,,,,,
DEFAULT,,"A flat, shallow container to serve food in.",,,,,,,,,,,,食物を盛る平たく浅い器。,,,,,,,
DEFAULT,,"It is tableware with the depth in heaviness to serve boiled rice and soup, noodles dish.",,,,,,,,,,,,米飯や汁物、麺料理などを盛り付ける厚手で深さのある食器。,,,,,,,
DEFAULT,,"I take it out of seawater and produce it as halite again and use it for industry other than seasoning.",,,,,,,,,,,,海水からとり、また岩塩としても産し、味つけのほか工業にも使う。,,,,,,,
DEFAULT,,"The liquid seasoning which I assume cereals raw materials mainly, and I let you ferment, and is prepared by a brewing technology.",,,,,,,,,,,,主に穀物を原料とし、醸造技術により発酵させて製造する液体調味料。,,,,,,,
DEFAULT,,"The Japanese fermented food which let a soybean ferment by Bacillus natto as for the natto.",,,,,,,,,,,,大豆を納豆菌によって発酵させた日本の発酵食品。,,,,,,,
DEFAULT,,"Chopped bonito is fish dishes using the bonitos. I cut a bonito in the knob and after having warmed only the surface, I cool it and hang a limit, a spice and sauce and eat.",,,,,,,,,,,,鰹を用いた魚料理。鰹を節に切り、表面のみをあぶったのち冷やして切り、薬味とタレをかけて食べるもの。,,,,,,,
DEFAULT,,"It is the sushi with the sushi class with laver with a vinegar meal on winding, the top. Because the figure resembled a warship, it was named.",,,,,,,,,,,,酢飯を海苔で巻き、その上に寿司種を乗せた寿司。その姿が軍艦に似ていることから名づけられた。,,,,,,,
DEFAULT,,"It is the sushi which the finger sushi puts a sushi seed on the nubbin of the vinegar meal and made.",,,,,,,,,,,,酢飯の小塊に寿司種をのせて握った寿司である。,,,,,,,
DEFAULT,,"I point to the Japanese dish which I open a vinegar meal in the laver on the winding bamboo blind and put an ingredient on the top and wound up.",,,,,,,,,,,,巻き簾上の海苔に酢飯を広げてその上に具を乗せて巻いた日本の料理を指す。,,,,,,,
DEFAULT,,"It is salty-sweet and stews beef and the onion which I sliced with soy sauce, and a beef bowl is the dish which I picked up on the meal which I served in a bowl.",,,,,,,,,,,,薄く切った牛肉とタマネギなどを醤油などで甘辛く煮込み、丼に盛った飯の上に載せた料理である。,,,,,,,
DEFAULT,,"The bowl of rice topped with chicken and eggs binds the chicken which I boiled with mixed seasonings with a beaten egg and is kind of the bowl thing which I rode on a white meal. The name ""parent and child"" comes from that I use meat and the egg of the chicken.",,,,,,,,,,,,割下などで煮た鶏肉を溶き卵でとじ、白飯の上に乗せた丼物の一種である。「親子」という名称は鶏の肉と卵を使うことに由来する。 ,,,,,,,
DEFAULT,,"Eel and rice in a lacquered box is a Japanese bowl thing with the spitchcock on the white meal that I served it in a bowl.",,,,,,,,,,,,"丼鉢に盛った白飯の上に鰻の蒲焼を乗せた日本の丼物。",,,,,,,
DEFAULT,,"The pork cutlet is the dish which I let you wear wheat flour, a beaten egg, bread crumbs, and fried the slice meat of sirloin and the fin of the pig with the thickness in edible oil.",,,,,,,,,,,,厚みのある豚のロースやヒレのスライス肉を、小麦粉・溶き卵・パン粉をまとわせて食用油で揚げた料理である。,,,,,,,
DEFAULT,,"I covered chicken with wheat flour or dogtooth violet starch thinly and fried it in oil.",,,,,,,,,,,,鶏肉に小麦粉や片栗粉などを薄くまぶして油で揚げたもの。,,,,,,,
DEFAULT,,"Noodles having some width and thickness that the udon kneads wheat flour and was under for a long time or the dish.",,,,,,,,,,,,小麦粉を練って長く切った、ある程度の幅と太さを持つ麺またはその料理。,,,,,,,
DEFAULT,,"Japanese noodles machined using the buckwheat flour which assumes the buckwheat of cereals raw materials with the soba and dish using it.",,,,,,,,,,,,穀物のそばの実を原料とする蕎麦粉を用いて加工した、日本の麺類、及び、それを用いた料理。,,,,,,,
DEFAULT,,"It is Japanese food that the tempura fries the ingredients such as fishery products or vegetables in a parcel, oil with clothes mainly composed of the wheat flour and cooks.",,,,,,,,,,,,魚介類や野菜等の食材を小麦粉を主体とした衣で包み、油で揚げて調理する日本料理である。 ,,,,,,,
DEFAULT,,"The Japanese local cooking that the Buri-daikon boiled the ARA of the yellowtail hard with soy sauce with a Japanese radish.",,,,,,,,,,,,ぶりのあらを大根と一緒に醤油で煮付けた日本の郷土料理。,,,,,,,
DEFAULT,,"It is bakemeat in fish.",,,,,,,,,,,,魚を焼いた料理。,,,,,,,
DEFAULT,,"The dish which boils a fish with the juice which I seasoned.",,,,,,,,,,,,魚を味を付けた汁で煮る料理。,,,,,,,
DEFAULT,,"I mix soup stock with a beaten egg and am a fried dish to harden.",,,,,,,,,,,,溶き卵に出汁を混ぜて焼き固める料理である。,,,,,,,
DEFAULT,,"It is a kind of the grilling foods on an iron plate to use wheat flour and cabbage.",,,,,,,,,,,,小麦粉とキャベツなどを使用する鉄板焼きの一種である。,,,,,,,
DEFAULT,,"It is the processed food which hardened the juice of the soybean by a coagulating agent.",,,,,,,,,,,,大豆の搾り汁を凝固剤によって固めた加工食品である。,,,,,,,
DEFAULT,,"It is one of the Japanese foods and is food served in a pot using the tofu.",,,,,,,,,,,,和食の一つであり、豆腐を使った鍋料理である。,,,,,,,
DEFAULT,,"Straight laver or the board laver which processed an alga are eaten and become the important materials with a side dish or sushi of the boiled rice.",,,,,,,,,,,,藻類を加工した「生海苔」や「板海苔」などが食されており、米飯のおかずや寿司などで重要な材料となっている。,,,,,,,
DEFAULT,,"Various ingredients such as salt, vinegar, the sake lees the food which pickled it, and pickled it with materials, and let raised preservation characteristics, and mature, and made a flavor better.",,,,,,,,,,,,様々な食材を食塩、酢、酒粕などの漬け込み材料とともに漬け込み、保存性を高めるとともに熟成させ、風味を良くした食品。,,,,,,,
DEFAULT,,"Rice usually refers to the refined sake which assumes malted rice and water main raw materials. The liquor which was brewed by the manufacturing method peculiar to Japan.",,,,,,,,,,,,米と麹と水を主な原料とする清酒を指す。日本特有の製法で醸造された酒,,,,,,,
DEFAULT,,"After having done food preserved in salt, I dried the fruit of the plum in the sun. It is food used for a rice ball and a lunch in Japan and is known as a health food.",,,,,,,,,,,,梅の果実を塩漬けした後に日干しにしたものである。日本ではおにぎりや弁当に使われる食品であり、健康食品としても知られる。,,,,,,,
DEFAULT,,"I spit tofu and konjac, eggplant or taro and apply the miso which I combine sugar and sweet sake and added a fragrance to in citron or a bud and am bakemeat.",,,,,,,,,,,,豆腐やこんにゃく、茄子や里芋などを串に刺し、砂糖や味醂を配合し柚子や木の芽などで香りをつけた味噌を塗りつけて、焼いた料理である。,,,,,,,
DEFAULT,,"Among eggs, a thing liked for consumption use most is a chicken egg.",,,,,,,,,,,,卵のうちで、消費用として最も好まれるものは鶏卵である。,,,,,,,
DEFAULT,,"Kind of the fruit tree. In fact, I make a pickled ume, a pickled plum.",,,,,,,,,,,,果樹の一種。実は梅漬け・梅干しにする。,,,,,,,
